"Date","Price","Open","High","Low","Vol.","Change %"
"24-10-2024","24,462.00","24,459.50","24,565.00","24,394.00","49.31K","-0.11%"
"23-10-2024","24,489.00","24,570.00","24,678.50","24,387.00","56.60K","-0.15%"
"22-10-2024","24,525.00","24,792.00","24,939.00","24,497.50","62.48K","-1.03%"
"21-10-2024","24,780.00","24,886.50","25,021.50","24,707.00","49.96K","-0.50%"
"18-10-2024","24,905.00","24,720.50","24,993.00","24,630.50","53.43K","0.18%"
"17-10-2024","24,860.00","25,063.50","25,068.50","24,747.50","46.91K","-0.57%"
"16-10-2024","25,002.00","25,061.00","25,172.00","24,960.00","43.14K","-0.44%"
"15-10-2024","25,112.00","25,274.50","25,274.50","25,051.00","41.88K","-0.44%"
"14-10-2024","25,223.00","25,131.50","25,273.00","25,065.50","41.35K","0.60%"
"11-10-2024","25,073.00","25,045.00","25,143.00","24,997.50","38.33K","-0.15%"
"10-10-2024","25,111.50","25,222.50","25,265.00","25,032.00","41.97K","0.12%"
"09-10-2024","25,080.50","25,180.00","25,350.00","25,040.50","65.25K","-0.16%"
"08-10-2024","25,121.50","24,900.50","25,225.00","24,848.50","65.43K","0.70%"
"07-10-2024","24,948.00","25,201.00","25,285.00","24,808.00","69.84K","-0.94%"
"04-10-2024","25,185.00","25,484.50","25,630.00","25,118.50","86.85K","-1.33%"
"03-10-2024","25,524.00","25,750.50","25,828.50","25,377.50","93.00K","-1.94%"
"01-10-2024","26,030.00","26,050.00","26,082.00","25,721.50","46.78K","0.09%"
"30-09-2024","26,006.50","26,336.50","26,336.50","25,856.00","62.35K","-1.32%"
"27-09-2024","26,354.00","26,360.00","26,440.50","26,285.50","48.60K","0.53%"
"26-09-2024","26,216.05","26,041.50","26,261.00","26,016.00","38.97K","0.87%"
"25-09-2024","25,990.00","25,937.50","26,074.00","25,880.00","75.02K","0.03%"
"24-09-2024","25,983.50","26,007.50","26,038.50","25,912.00","127.12K","0.19%"
"23-09-2024","25,935.50","25,868.00","26,056.50","25,856.50","91.82K","0.37%"
"20-09-2024","25,840.50","25,565.00","25,875.00","25,455.00","101.17K","1.39%"
"19-09-2024","25,487.00","25,363.00","25,657.00","25,363.00","61.23K","0.33%"
"18-09-2024","25,402.00","25,411.50","25,537.00","25,311.00","45.32K","-0.24%"
"17-09-2024","25,462.50","25,513.50","25,538.00","25,386.50","35.29K","0.00%"
"16-09-2024","25,462.50","25,422.00","25,523.50","25,382.00","","0.30%"
"13-09-2024","25,385.50","25,409.50","25,454.50","25,322.00","36.73K","0.15%"
"12-09-2024","25,348.00","25,072.50","25,445.00","25,004.50","58.36K","1.48%"
"11-09-2024","24,979.00","25,107.00","25,157.00","24,835.00","42.23K","-0.54%"
"10-09-2024","25,115.00","25,122.50","25,184.00","24,919.00","41.16K","0.54%"
"09-09-2024","24,980.00","24,757.50","25,110.00","24,757.50","45.98K","0.21%"
"06-09-2024","24,927.00","25,246.00","25,246.00","24,773.50","66.46K","-1.30%"
"05-09-2024","25,255.00","25,340.00","25,380.00","25,167.00","37.67K","-0.05%"
"04-09-2024","25,266.50","25,197.00","25,391.50","25,153.50","49.05K","-0.42%"
"03-09-2024","25,372.00","25,370.50","25,424.00","25,232.00","32.05K","0.02%"
"02-09-2024","25,367.50","25,449.50","25,449.50","25,319.00","31.61K","-0.10%"
"30-08-2024","25,392.00","25,271.50","25,450.00","25,250.00","56.31K","0.95%"
"29-08-2024","25,151.95","24,981.00","25,211.50","24,976.00","56.07K","0.37%"
"28-08-2024","25,059.00","25,037.50","25,144.00","24,799.00","54.30K","0.19%"
"27-08-2024","25,012.00","25,006.00","25,093.50","24,954.00","80.52K","-0.23%"
"26-08-2024","25,070.50","24,947.00","25,090.00","24,888.00","103.49K","0.92%"
"23-08-2024","24,842.50","24,786.50","24,974.50","24,786.50","58.18K","-0.01%"
"22-08-2024","24,846.00","24,871.50","24,895.00","24,784.00","35.90K","0.12%"
"21-08-2024","24,815.50","24,707.50","24,909.50","24,682.00","33.97K","0.40%"
"20-08-2024","24,717.50","24,655.00","24,774.00","24,630.00","36.27K","0.44%"
"19-08-2024","24,608.50","24,725.00","24,725.00","24,534.00","37.14K","0.08%"
"16-08-2024","24,590.00","24,327.00","24,675.00","24,234.00","59.06K","1.84%"
"14-08-2024","24,145.00","24,239.50","24,257.00","24,121.50","38.39K","-0.05%"
"13-08-2024","24,157.00","24,345.50","24,385.50","24,104.00","47.50K","-0.77%"
"12-08-2024","24,343.50","24,384.50","24,531.50","24,270.50","42.70K","-0.16%"
"09-08-2024","24,383.50","24,367.00","24,455.00","24,300.00","45.96K","1.17%"
"08-08-2024","24,100.50","24,168.50","24,379.00","24,100.00","69.67K","-1.17%"
"07-08-2024","24,385.00","24,131.00","24,420.50","24,131.00","69.61K","1.41%"
"06-08-2024","24,045.00","24,251.00","24,404.50","23,992.00","78.39K","-0.41%"
"05-08-2024","24,143.00","24,415.00","24,461.00","23,830.00","110.58K","-2.31%"
"02-08-2024","24,715.00","24,845.50","24,891.50","24,543.50","67.60K","-1.36%"
"01-08-2024","25,055.00","25,158.00","25,158.00","24,861.00","42.16K","0.02%"
"31-07-2024","25,049.00","24,910.50","25,140.00","24,885.50","42.01K","0.48%"
"30-07-2024","24,930.50","24,882.50","25,034.50","24,825.00","43.83K","-0.09%"
"29-07-2024","24,952.50","24,997.50","25,097.50","24,822.00","47.22K","0.06%"
"26-07-2024","24,938.50","24,470.50","24,969.50","24,463.50","57.25K","2.18%"
"25-07-2024","24,406.10","24,283.00","24,420.00","24,147.50","45.36K","-0.03%"
"24-07-2024","24,414.00","24,387.50","24,485.00","24,251.00","72.28K","-0.23%"
"23-07-2024","24,471.00","24,537.00","24,564.00","24,064.00","146.49K","-0.16%"
"22-07-2024","24,510.50","24,457.50","24,612.00","24,375.00","105.43K","-0.10%"
"19-07-2024","24,534.00","24,778.00","24,889.50","24,416.50","56.90K","-1.29%"
"18-07-2024","24,853.50","24,681.50","24,922.00","24,543.50","64.19K","0.60%"
"17-07-2024","24,705.50","24,704.00","24,770.00","24,646.50","12.81K","0.16%"
"16-07-2024","24,667.00","24,638.00","24,784.00","24,611.50","30.14K","0.06%"
"15-07-2024","24,652.00","24,600.00","24,680.50","24,570.50","33.41K","0.43%"
"12-07-2024","24,546.00","24,483.00","24,675.50","24,413.50","44.68K","0.41%"
"11-07-2024","24,445.00","24,416.00","24,524.50","24,259.50","37.07K","0.26%"
"10-07-2024","24,381.50","24,492.50","24,513.50","24,232.50","45.90K","-0.38%"
"09-07-2024","24,474.50","24,398.50","24,542.50","24,366.50","34.66K","0.31%"
"08-07-2024","24,399.00","24,418.50","24,450.00","24,308.50","36.45K","0.12%"
"05-07-2024","24,370.00","24,381.00","24,449.00","24,269.00","36.19K","0.02%"
"04-07-2024","24,365.50","24,473.00","24,498.00","24,354.00","32.57K","-0.33%"
"03-07-2024","24,446.00","24,372.50","24,475.00","24,315.50","39.59K","0.43%"
"02-07-2024","24,342.00","24,265.00","24,342.00","24,144.00","41.56K","0.39%"
"01-07-2024","24,247.50","24,206.50","24,272.50","24,139.50","45.93K","0.45%"
"28-06-2024","24,139.50","24,206.50","24,274.00","24,076.50","45.93K","0.40%"
"27-06-2024","24,044.50","23,799.00","24,057.50","23,785.00","44.42K","0.77%"
"26-06-2024","23,861.50","23,698.00","23,902.50","23,670.50","66.15K","0.59%"
"25-06-2024","23,720.50","23,571.50","23,750.00","23,564.00","102.29K","0.78%"
"24-06-2024","23,536.50","23,477.50","23,643.00","23,339.00","112.37K","0.30%"
"21-06-2024","23,467.00","23,602.00","23,642.00","23,426.50","66.81K","-0.53%"
"20-06-2024","23,593.00","23,520.00","23,647.00","23,451.50","40.72K","0.33%"
"19-06-2024","23,514.50","23,653.00","23,683.00","23,447.00","48.62K","-0.32%"
"18-06-2024","23,590.50","23,601.50","23,685.50","23,550.00","41.52K","0.17%"
"17-06-2024","23,551.00","23,548.50","23,620.00","23,525.00","13.64K","0.43%"
"14-06-2024","23,450.50","23,391.50","23,501.00","23,364.00","38.15K","0.15%"
"13-06-2024","23,415.00","23,439.00","23,477.50","23,343.50","33.32K","0.20%"
